,State,Year,Victim_count,Offender_race,Victim_race,Offense,City,Offender_count,Region,Juvenile_Offeneder_Count
3624,Illinois,2006,1,White,Black or African American,Assault,Granite City,3,Midwest,
3625,California,2004,1,White,Black or African American,Assault,Kern,1,West,
3626,California,2003,1,White,Others,Assault,Los Angeles,1,West,
3627,California,2012,1,White,Asian,Assault,San Francisco,1,West,
3628,California,2005,2,White,Others,Intimidation,Palm Springs,3,West,
3629,Michigan,2006,1,Black or African American,White,Intimidation,Grand Rapids,1,Midwest,
3630,District of Columbia,2017,1,Black or African American,White,Intimidation,Washington,1,South,0.0
3631,New York,1997,1,Black or African American,White,Intimidation,New York,1,Northeast,
3632,Ohio,2002,1,White,Black or African American,Assault,Columbus,3,Midwest,
3633,Michigan,1997,2,White,Black or African American,Intimidation,Fraser,1,Midwest,
3634,Pennsylvania,1995,2,White,Black or African American,Intimidation,Philadelphia,2,Northeast,
3635,Texas,1993,1,White,Black or African American,Assault,Woodway,1,South,
3636,New York,2011,1,White,Black or African American,Assault,New York City Metropolitan Transportation Authority,1,Northeast,0.0
3637,New Jersey,2014,1,White,Asian,Intimidation,Hoboken,1,Northeast,0.0
3638,Michigan,2004,1,White,Black or African American,Intimidation,Springfield,1,Midwest,
3639,Arizona,2000,1,White,Black or African American,Assault,Phoenix,1,West,
3640,Virginia,2011,1,Black or African American,White,Assault,Newport News,4,South,0.0
3641,Ohio,2006,2,White,Others,Intimidation,Columbus,1,Midwest,
3642,California,2007,1,White,Others,Assault,Duarte,1,West,
3643,Colorado,1995,1,Black or African American,White,Assault,Denver,2,West,
3644,Arizona,1998,1,White,Black or African American,Assault,Phoenix,1,West,
3645,Tennessee,2014,3,White,Others,Intimidation,Greeneville,2,South,0.0
3646,Massachusetts,2001,1,White,Black or African American,Property,Southwick,1,Northeast,
3647,New Jersey,1999,1,White,Others,Property,Haddonfield,1,Northeast,
3648,Kansas,2009,1,White,Black or African American,Assault,Leavenworth,1,Midwest,
3649,Washington,1993,1,White,Black or African American,Intimidation,Pierce,1,West,
3650,New Jersey,1993,1,White,Black or African American,Intimidation,Deptford Township,1,Northeast,
3651,New York,2003,1,Black or African American,Others,Assault,New York,1,Northeast,
3652,Minnesota,2015,1,White,Others,Intimidation,Brooklyn Park,1,Midwest,
3653,New Jersey,2012,1,White,Others,Intimidation,"Monroe Township, Middlesex County",1,Northeast,
3654,California,2006,1,White,Black or African American,Assault,Pomona,1,West,
3655,California,2007,2,White,Others,Intimidation,San Jacinto,1,West,
3656,Illinois,1997,1,White,Others,Others,Jo Daviess,1,Midwest,
3657,California,2002,1,White,Others,Intimidation,Cupertino,1,West,
3658,Kentucky,1993,1,White,Black or African American,Intimidation,Bowling Green,4,South,
3659,California,2002,1,White,Black or African American,Assault,West Covina,1,West,
3660,California,2004,1,White,Others,Assault,Los Angeles,1,West,
3661,California,2012,1,Black or African American,White,Assault,San Francisco,1,West,
3662,Massachusetts,1992,1,White,Black or African American,Assault,Boston,1,Northeast,
3663,Rhode Island,1994,1,White,Others,Intimidation,East Greenwich,1,Northeast,
3664,Washington,2002,1,White,Others,Intimidation,Spokane,1,West,
3665,New Jersey,2004,1,White,Black or African American,Intimidation,Metuchen,1,Northeast,
3666,California,2011,1,White,Others,Others,Sacramento,6,West,0.0
3667,Arizona,2002,2,White,Black or African American,Intimidation,Phoenix,1,West,
3668,New Jersey,1998,1,White,Black or African American,Property,"Washington Township, Morris County",3,Northeast,
3669,Ohio,2004,1,White,Black or African American,Property,Findlay,1,Midwest,
3670,New Jersey,2008,1,White,Black or African American,Intimidation,Riverside Township,1,Northeast,
3671,Missouri,1994,1,White,Black or African American,Property,Kirksville,8,Midwest,
3672,Nebraska,2016,1,White,Black or African American,Assault,Lincoln,1,Midwest,0.0
3673,California,1993,1,Black or African American,White,Assault,San Francisco,1,West,
3674,Tennessee,2006,1,White,Black or African American,Assault,Bradley,1,South,
3675,California,2009,1,White,Black or African American,Assault,Sonora,1,West,
3676,North Carolina,2014,2,Black or African American,White,Assault,Raleigh,3,South,0.0
3677,Washington,2013,1,Black or African American,White,Intimidation,Seattle,1,West,0.0
3678,Minnesota,1995,1,Black or African American,Black or African American,Assault,St. Paul,1,Midwest,
3679,Nebraska,2004,1,White,Black or African American,Assault,Lincoln,2,Midwest,
3680,Florida,2003,1,White,Black or African American,Property,Port St. Lucie,3,South,
3681,Michigan,2003,2,White,Black or African American,Assault,Cadillac,1,Midwest,
3682,Missouri,2015,2,White,Black or African American,Others,Taney,1,Midwest,
3683,Massachusetts,2003,1,White,Others,Property,Ashland,1,Northeast,
3684,California,1999,1,White,Others,Assault,Laguna Niguel,1,West,
3685,Washington,2015,1,White,Others,Assault,Zillah,1,West,
3686,South Dakota,2012,4,Others,Black or African American,Assault,Tea,1,Midwest,
3687,Michigan,2011,1,Black or African American,White,Assault,Wyoming,1,Midwest,0.0
3688,California,2006,1,White,White,Assault,Los Angeles,2,West,
3689,California,2008,2,White,Black or African American,Property,Alhambra,2,West,
3690,Nebraska,2002,2,White,Others,Property,Sidney,1,Midwest,
3691,Colorado,2011,3,White,Black or African American,Intimidation,Lakewood,1,West,0.0
3692,California,2000,1,White,Others,Property,San Diego,3,West,
3693,Missouri,1996,1,White,Black or African American,Intimidation,Kansas City,3,Midwest,
3694,Oregon,2000,1,Others,Black or African American,Intimidation,Eugene,1,West,
3695,Illinois,2006,1,Black or African American,Others,Assault,Chicago,1,Midwest,
3696,Arizona,1992,2,White,White,Assault,Phoenix,4,West,
3697,Arizona,2003,1,White,Black or African American,Assault,Phoenix,1,West,
3698,Arizona,2010,1,Black or African American,Others,Assault,Phoenix,1,West,
3699,Washington,1991,2,White,Others,Intimidation,Spokane,2,West,
3700,Kentucky,1999,1,White,Black or African American,Intimidation,Radcliff,1,South,
3701,New York,2013,1,Asian,Asian,Property,Nassau,1,Northeast,0.0
3702,New York,2004,1,White,White,Assault,Nassau,1,Northeast,
3703,New York,2015,1,White,Others,Assault,New York,1,Northeast,
3704,Texas,2006,1,Black or African American,Others,Assault,Austin,2,South,
3705,Massachusetts,1999,1,White,Others,Property,Abington,1,Northeast,
3706,Michigan,2014,2,Black or African American,Asian,Others,Michigan State University,5,Midwest,0.0
3707,South Carolina,2012,1,Black or African American,White,Assault,The Citadel,2,South,
3708,California,2018,1,White,Black or African American,Assault,El Dorado,3,West,0.0
3709,Missouri,1995,1,White,Black or African American,Intimidation,Columbia,1,Midwest,
3710,Ohio,2000,1,Black or African American,White,Intimidation,Cincinnati,1,Midwest,
3711,Texas,1997,1,White,White,Assault,Houston,4,South,
3712,North Carolina,2017,2,White,Others,Intimidation,Martin,1,South,0.0
3713,California,2005,1,White,Others,Intimidation,Santa Cruz,1,West,
3714,New York,1998,1,White,Others,Intimidation,New York,1,Northeast,
3715,California,2014,1,Black or African American,White,Assault,University of California:,1,West,0.0
3716,District of Columbia,2018,1,Black or African American,White,Assault,Washington,1,South,0.0
3717,Indiana,2001,2,White,Others,Intimidation,La Porte,1,Midwest,
3718,Nevada,2008,1,White,Black or African American,Assault,Las Vegas Metropolitan Police Department,1,West,
3719,California,2001,2,White,White,Assault,Orange,1,West,
3720,Colorado,1999,1,Others,Others,Intimidation,Estes Park,1,West,
3721,Maryland,2005,1,White,Black or African American,Assault,Baltimore County Police Department,1,South,
3722,California,1996,1,Black or African American,White,Assault,Los Angeles,1,West,
3723,Michigan,2003,1,White,Others,Property,Kent,1,Midwest,
3724,Ohio,2017,1,White,Others,Assault,Dayton,1,Midwest,1.0
3725,California,2006,1,White,Asian,Assault,Long Beach,1,West,
3726,California,2006,1,White,Black or African American,Intimidation,Los Angeles,2,West,
3727,California,1996,1,Black or African American,White,Assault,San Francisco,1,West,
3728,California,2007,2,White,Asian,Others,Garden Grove,4,West,
3729,California,2002,1,White,Others,Others,Galt,5,West,
3730,Arizona,2018,1,White,Others,Property,Phoenix,1,West,
3731,California,2012,1,Black or African American,White,Assault,San Francisco,1,West,
3732,Michigan,2012,1,Black or African American,Others,Assault,Detroit,1,Midwest,
3733,Georgia,2008,1,Black or African American,White,Assault,Atlanta,4,South,
3734,Kansas,2013,2,White,Black or African American,Assault,Wichita,1,Midwest,0.0
3735,Montana,2008,2,White,Others,Assault,Kalispell,1,West,
3736,Indiana,1992,1,Black or African American,White,Assault,South Bend,1,Midwest,
3737,Massachusetts,1993,1,White,Black or African American,Assault,Boston,1,Northeast,
3738,California,2001,1,White,Others,Assault,Los Angeles,4,West,
3739,Texas,1993,1,White,Black or African American,Intimidation,Dallas,1,South,
3740,Kentucky,2013,4,White,Others,Assault,Knott,1,South,0.0
3741,Virginia,1999,1,White,Black or African American,Assault,Norfolk,1,South,
3742,Florida,2005,1,Black or African American,White,Assault,Pembroke Pines,2,South,
3743,Kansas,2014,1,Black or African American,White,Intimidation,Lawrence,1,Midwest,0.0
3744,Washington,2017,1,White,White,Property,Spokane Valley,1,West,1.0
3745,Michigan,2008,1,Black or African American,White,Assault,Meridian Township,1,Midwest,
3746,California,1993,1,White,Others,Assault,San Francisco,1,West,
3747,Ohio,2000,1,White,Others,Intimidation,Columbus,1,Midwest,
3748,Oklahoma,1993,4,Black or African American,White,Assault,Tulsa,10,South,
3749,New Jersey,2008,1,White,Black or African American,Intimidation,Keansburg,1,Northeast,
3750,Michigan,2001,1,White,Black or African American,Assault,Emmett Township,1,Midwest,
3751,California,1999,1,White,Black or African American,Intimidation,Vacaville,2,West,
3752,South Carolina,2017,1,Black or African American,Black or African American,Assault,Denmark,1,South,0.0
3753,Florida,2006,3,White,Black or African American,Intimidation,Fort Lauderdale,1,South,
3754,Virginia,2000,1,White,Black or African American,Others,Chesterfield County Police Department,1,South,
3755,California,1996,2,White,Others,Assault,San Francisco,2,West,
3756,Maryland,2011,1,Black or African American,White,Assault,Crisfield,1,South,0.0
3757,Virginia,2002,1,White,Black or African American,Intimidation,Quantico,2,South,
3758,Ohio,1995,1,White,Black or African American,Assault,Columbus,2,Midwest,
3759,California,1995,1,White,White,Assault,West Hollywood,1,West,
3760,New Jersey,2006,1,White,Black or African American,Intimidation,Lakewood Township,4,Northeast,
3761,Virginia,2006,1,Black or African American,Black or African American,Others,Alexandria,1,South,
3762,Indiana,1999,1,White,Black or African American,Assault,South Bend,1,Midwest,
3763,Colorado,2015,1,White,Others,Others,Trinidad,1,West,
3764,Virginia,2004,2,White,Black or African American,Assault,Virginia Beach,4,South,
3765,Virginia,1993,1,Black or African American,White,Assault,Charlottesville,4,South,
3766,New Jersey,2001,1,White,Others,Intimidation,Winslow Township,1,Northeast,
3767,Michigan,2012,2,White,Black or African American,Assault,Auburn Hills,1,Midwest,
3768,Wisconsin,2006,1,White,Others,Others,Appleton,1,Midwest,
3769,Florida,2013,1,White,Black or African American,Intimidation,Key West,1,South,0.0
3770,New Jersey,2008,1,White,Others,Intimidation,West Deptford Township,1,Northeast,
3771,West Virginia,2005,1,White,Others,Assault,Wheeling,1,South,
3772,California,2016,1,White,Others,Assault,Fairfield,1,West,0.0
3773,Tennessee,2003,1,White,Black or African American,Intimidation,Millersville,1,South,
3774,Nebraska,2010,1,White,Black or African American,Assault,Lincoln,1,Midwest,
3775,Texas,2005,3,Asian,Others,Others,Houston,4,South,
3776,Michigan,2003,1,White,Others,Assault,Michigan State University,1,Midwest,
3777,Michigan,2004,1,Black or African American,Black or African American,Assault,Macomb,1,Midwest,
3778,Missouri,1997,2,Black or African American,White,Others,Kansas City,2,Midwest,
3779,California,2007,2,Asian,Black or African American,Assault,Pomona,1,West,
3780,Ohio,2003,1,White,Black or African American,Intimidation,Cleveland,1,Midwest,
3781,Illinois,2005,1,White,Black or African American,Assault,Granite City,1,Midwest,
3782,Nebraska,2010,1,White,Black or African American,Assault,Lincoln,1,Midwest,
3783,New Jersey,1992,1,White,Others,Assault,North Arlington,1,Northeast,
3784,Minnesota,2011,2,White,Others,Intimidation,St. Louis Park,2,Midwest,0.0
3785,Georgia,1993,1,White,Black or African American,Intimidation,Atlanta,1,South,
3786,Maryland,1992,1,White,Black or African American,Intimidation,Baltimore County Police Department,1,South,
3787,Texas,2005,5,White,Black or African American,Assault,Haltom City,3,South,
3788,Florida,2006,1,White,Black or African American,Assault,New Port Richey,1,South,
3789,Indiana,2010,2,White,Black or African American,Assault,Bloomington,1,Midwest,
3790,Tennessee,2018,1,White,Black or African American,Property,Chattanooga,1,South,0.0
3791,Washington,1997,1,Black or African American,White,Assault,Seattle,1,West,
3792,New Jersey,1999,1,White,Others,Intimidation,Secaucus,1,Northeast,
3793,Missouri,1995,1,Black or African American,White,Assault,St. Louis,10,Midwest,
3794,Nevada,2001,1,White,Asian,Assault,Las Vegas Metropolitan Police Department,1,West,
3795,Arizona,2008,1,White,Others,Assault,Phoenix,1,West,
3796,Oklahoma,2011,1,White,Others,Intimidation,Norman,2,South,0.0
3797,Washington,2017,1,Black or African American,White,Others,Seattle,1,West,0.0
3798,Arizona,1994,1,White,Others,Intimidation,Phoenix,1,West,
3799,Alaska,2013,1,White,Black or African American,Others,Anchorage,4,West,0.0
3800,Nevada,2003,1,White,Black or African American,Property,North Las Vegas,2,West,
3801,Pennsylvania,1994,5,White,Black or African American,Assault,Philadelphia,4,Northeast,
3802,Massachusetts,2009,1,White,Black or African American,Assault,Boston,1,Northeast,
3803,Pennsylvania,1991,1,White,Black or African American,Intimidation,Pittsburgh,7,Northeast,
3804,Ohio,2014,1,White,Others,Others,Wilmington,1,Midwest,0.0
3805,Iowa,2013,1,White,Others,Intimidation,Altoona,2,Midwest,0.0
3806,Illinois,2008,1,Others,Others,Assault,Champaign,1,Midwest,
3807,Oregon,1994,2,White,Others,Intimidation,Portland,1,West,
3808,Florida,2002,1,Black or African American,White,Assault,Gainesville,1,South,
3809,Illinois,2007,1,Black or African American,White,Assault,Springfield,1,Midwest,
3810,Wisconsin,2002,1,Black or African American,Others,Assault,Madison,3,Midwest,
3811,Texas,1994,1,White,Others,Assault,Fort Worth,1,South,
3812,Washington,1993,2,White,Black or African American,Assault,Des Moines,2,West,
3813,Oklahoma,2014,1,White,Others,Intimidation,Sapulpa,1,South,0.0
3814,Michigan,2017,1,White,White,Others,Blackman Township,1,Midwest,0.0
3815,Montana,1998,1,White,Black or African American,Assault,Helena,1,West,
3816,Massachusetts,2018,2,White,Others,Intimidation,Haverhill,1,Northeast,0.0
3817,Arizona,2012,1,White,Black or African American,Intimidation,Phoenix,1,West,
3818,California,2003,1,White,Asian,Assault,Berkeley,1,West,
3819,Indiana,2018,1,White,Black or African American,Intimidation,Terre Haute,2,Midwest,0.0
3820,Illinois,2014,1,White,Black or African American,Intimidation,Joliet,2,Midwest,0.0
3821,South Carolina,2000,6,White,Black or African American,Intimidation,Lancaster,1,South,
3822,California,1995,2,Black or African American,Others,Assault,Los Angeles,1,West,
3823,Missouri,1993,1,White,Black or African American,Assault,St. Louis,1,Midwest,
3824,Ohio,2017,1,White,Others,Intimidation,Columbus,1,Midwest,0.0
3825,California,1995,1,Black or African American,White,Assault,Long Beach,4,West,
3826,Washington,2007,1,Black or African American,Others,Assault,Seattle,1,West,
3827,Oklahoma,1992,1,White,Others,Assault,Tulsa,1,South,
3828,Oregon,1994,1,White,White,Assault,Phoenix,2,West,
3829,Missouri,1998,1,White,Others,Assault,Jasper,1,Midwest,
3830,Arizona,1998,1,White,Black or African American,Intimidation,Phoenix,1,West,
3831,Illinois,2014,1,White,Others,Assault,Bloomington,1,Midwest,0.0
3832,California,1999,1,White,Black or African American,Assault,San Diego,1,West,
3833,Tennessee,2013,1,Black or African American,Others,Assault,Shelby,1,South,0.0
3834,North Carolina,2013,1,White,Black or African American,Assault,Mint Hill,1,South,0.0
3835,New Jersey,1992,1,White,Black or African American,Property,"Springfield Township, Union County",1,Northeast,
3836,Massachusetts,1998,1,White,Others,Intimidation,Northampton,3,Northeast,
3837,California,2011,1,White,Black or African American,Assault,Walnut Creek,1,West,0.0
3838,Minnesota,2002,1,Black or African American,Black or African American,Property,Minneapolis,3,Midwest,
3839,Maryland,1997,1,Black or African American,Asian,Intimidation,Montgomery County Police Department,1,South,
3840,California,1996,1,White,Others,Others,Sacramento,2,West,
3841,Texas,2001,2,White,Black or African American,Property,Austin,1,South,
3842,Arizona,2001,4,White,Black or African American,Intimidation,Phoenix,1,West,
3843,California,2002,1,White,Others,Intimidation,Los Angeles,1,West,
3844,Ohio,2001,1,Black or African American,Others,Intimidation,Cleveland,1,Midwest,
3845,Washington,1999,1,White,Asian,Assault,Federal Way,1,West,
3846,South Dakota,2010,1,White,Others,Others,Pierre,1,Midwest,
3847,Michigan,2015,1,Black or African American,Black or African American,Assault,Missaukee,1,Midwest,
3848,Pennsylvania,2011,1,White,Others,Property,Pittsburgh,1,Northeast,0.0
3849,Ohio,2006,1,White,Others,Intimidation,Columbus,1,Midwest,
3850,New Jersey,1992,1,Black or African American,White,Intimidation,Salem,1,Northeast,
3851,Washington,2014,1,White,Others,Assault,Seattle,1,West,0.0
3852,New Jersey,1991,1,White,Black or African American,Intimidation,Union City,1,Northeast,
3853,Maryland,1992,1,Black or African American,White,Intimidation,Harford,1,South,
3854,Kansas,2015,1,White,White,Others,Clay Center,1,Midwest,
3855,Wisconsin,1994,2,Asian,Black or African American,Intimidation,University of Wisconsin:,1,Midwest,
3856,Missouri,1991,1,White,Black or African American,Assault,St. Louis,1,Midwest,
3857,Indiana,2013,1,White,Others,Others,State Police:,1,Midwest,0.0
3858,California,2011,1,Black or African American,Others,Assault,Fairfield,1,West,0.0
3859,West Virginia,2015,1,White,Others,Assault,Berkeley,1,South,
3860,Kansas,1998,2,White,Black or African American,Assault,Wichita,1,Midwest,
3861,Texas,2018,1,White,Others,Others,Dumas,2,South,0.0
3862,Nevada,2008,1,White,Others,Assault,Las Vegas Metropolitan Police Department,1,West,
3863,New Hampshire,2000,1,White,Others,Intimidation,Portsmouth,1,Northeast,
3864,Massachusetts,2003,1,White,Others,Others,Brockton,2,Northeast,
3865,California,2000,3,White,Black or African American,Intimidation,Los Angeles,1,West,
3866,Colorado,2005,1,White,Black or African American,Intimidation,Steamboat Springs,1,West,
3867,Georgia,2018,1,Black or African American,Others,Assault,Columbus,2,South,
3868,Oregon,2006,2,White,Black or African American,Assault,Portland,1,West,
3869,New York,2010,1,White,Black or African American,Assault,Monticello Village,1,Northeast,
3870,Michigan,2013,1,Black or African American,Asian,Intimidation,Troy,1,Midwest,0.0
3871,Oregon,1991,1,Black or African American,White,Assault,Portland,2,West,
3872,Idaho,1993,1,White,Black or African American,Intimidation,Mountain Home,1,West,
3873,California,2014,1,White,Black or African American,Assault,Tuolumne,1,West,0.0
3874,California,2002,1,White,Others,Assault,Turlock,1,West,
3875,Massachusetts,2013,1,White,Black or African American,Intimidation,Boston,1,Northeast,0.0
3876,California,1995,1,White,Asian,Others,Oceanside,1,West,
3877,New Jersey,1994,1,White,Others,Intimidation,North Bergen Township,1,Northeast,
3878,West Virginia,2018,1,White,White,Others,Oak Hill,2,South,0.0
3879,California,2005,1,White,Asian,Assault,Albany,1,West,
3880,Michigan,2001,1,Black or African American,White,Assault,Wayne County Airport,1,Midwest,
3881,Louisiana,2016,2,Black or African American,Others,Others,St. John the Baptist,1,South,0.0
3882,Colorado,2008,1,Black or African American,White,Assault,Colorado Springs,5,West,
3883,New York,2013,1,White,Others,Assault,New York,1,Northeast,0.0
3884,California,2016,1,White,Black or African American,Assault,Lancaster,1,West,0.0
3885,Virginia,2000,1,Black or African American,White,Assault,Norfolk,3,South,
3886,New Jersey,1995,2,White,Black or African American,Assault,Gloucester Township,1,Northeast,
3887,California,1996,1,White,Black or African American,Intimidation,San Diego,1,West,
3888,California,2012,1,White,Asian,Intimidation,Lomita,1,West,
3889,Pennsylvania,1991,1,White,Black or African American,Assault,New Castle,1,Northeast,
3890,Kentucky,2010,1,White,Black or African American,Intimidation,Ludlow,1,South,
3891,Connecticut,2014,1,White,Black or African American,Assault,Vernon,1,Northeast,0.0
3892,Ohio,2004,1,White,Black or African American,Intimidation,Columbus,1,Midwest,
3893,Indiana,2014,1,Black or African American,White,Assault,Indianapolis,2,Midwest,0.0
3894,Illinois,2006,2,Black or African American,Others,Others,Chicago,3,Midwest,
3895,Missouri,2012,1,Black or African American,Black or African American,Assault,Kansas City,1,Midwest,
3896,Indiana,2013,1,White,Others,Assault,Purdue University,4,Midwest,0.0
3897,Michigan,2012,3,White,Black or African American,Assault,Lansing,1,Midwest,
3898,Michigan,1994,2,White,Black or African American,Intimidation,Three Oaks,1,Midwest,
3899,New Jersey,2016,1,White,Others,Intimidation,Hammonton,1,Northeast,0.0
3900,California,2006,3,White,Black or African American,Intimidation,Santa Clarita,2,West,
3901,Missouri,1992,1,Black or African American,White,Assault,St. Louis,7,Midwest,
3902,Utah,2004,1,White,Others,Others,West Valley,1,West,
3903,Arizona,1997,1,White,Black or African American,Assault,Phoenix,1,West,
3904,Arkansas,1992,1,Black or African American,White,Assault,Little Rock,4,South,
3905,California,2002,1,White,Others,Assault,Big Bear ,8,West,
3906,Ohio,2004,3,Black or African American,White,Intimidation,North College Hill,1,Midwest,
3907,California,2003,1,White,Black or African American,Intimidation,San Luis Obispo,1,West,
3908,Arizona,2017,2,Black or African American,White,Assault,Phoenix,1,West,0.0
3909,Ohio,2008,1,White,Black or African American,Intimidation,Columbus,1,Midwest,
3910,Michigan,1995,1,Black or African American,White,Assault,Clinton Township,1,Midwest,
3911,Washington,1992,1,White,White,Intimidation,Tacoma,1,West,
3912,Colorado,1995,1,Black or African American,White,Assault,Aurora,4,West,
3913,Oklahoma,2009,2,White,Black or African American,Assault,Chickasha,2,South,
3914,California,2010,1,White,Others,Assault,El Monte,1,West,
3915,Arizona,2009,1,White,Others,Assault,Phoenix,1,West,
3916,California,1995,1,White,Others,Assault,Los Angeles,1,West,
3917,California,2013,1,Black or African American,White,Assault,San Francisco,1,West,0.0
3918,Ohio,2012,2,White,Black or African American,Intimidation,Whitehall,1,Midwest,
3919,Colorado,2006,3,White,White,Intimidation,Gilpin,1,West,
3920,California,2017,1,Black or African American,Others,Assault,San Jose,1,West,0.0
3921,Maryland,1993,1,White,Black or African American,Property,Baltimore County Police Department,1,South,
3922,New Jersey,1996,1,White,Others,Assault,Manalapan Township,1,Northeast,
3923,Iowa,1993,1,White,Black or African American,Intimidation,Council Bluffs,1,Midwest,
3924,Florida,2010,1,Black or African American,White,Assault,North Port,1,South,
3925,Florida,2006,1,White,Others,Others,Citrus,1,South,
3926,Arizona,2018,1,Black or African American,Others,Intimidation,Phoenix,1,West,0.0
3927,Washington,1995,1,Others,Others,Intimidation,Ellensburg,2,West,
3928,Washington,1995,1,White,Black or African American,Assault,Tacoma,4,West,
3929,Arizona,1993,1,White,Black or African American,Assault,Phoenix,2,West,
3930,Idaho,2002,1,Others,White,Assault,Jerome,2,West,
3931,Georgia,1999,2,White,Black or African American,Intimidation,Atlanta,2,South,
3932,Ohio,2004,2,Black or African American,White,Intimidation,Cleveland,1,Midwest,
3933,New Jersey,2009,1,White,Black or African American,Intimidation,Brooklawn,1,Northeast,
3934,Maryland,1992,1,Black or African American,White,Assault,Baltimore,2,South,
3935,California,2007,3,White,Others,Intimidation,Santa Clara,1,West,
3936,Washington,1995,1,White,Black or African American,Property,Walla Walla,1,West,
3937,New Jersey,1994,1,White,Others,Assault,State Police:,3,Northeast,
3938,District of Columbia,2012,1,Black or African American,Others,Assault,Washington,3,South,
3939,California,2010,2,White,Black or African American,Intimidation,Oxnard,4,West,
3940,Massachusetts,1995,1,White,Black or African American,Intimidation,Randolph,1,Northeast,
3941,California,1995,1,White,Black or African American,Intimidation,Los Angeles,6,West,
3942,Connecticut,1997,1,White,Black or African American,Intimidation,New Britain,2,Northeast,
3943,Massachusetts,2013,1,White,White,Intimidation,Boston,1,Northeast,0.0
3944,California,2006,1,White,Black or African American,Intimidation,Port of San Diego Harbor,1,West,
3945,California,2018,2,Black or African American,White,Property,Los Angeles,4,West,0.0
3946,California,2001,1,White,Others,Property,Yuba,6,West,
3947,Nebraska,2006,1,Black or African American,Others,Assault,Lincoln,2,Midwest,
3948,North Carolina,2008,1,White,Others,Intimidation,Salisbury,2,South,
3949,California,2002,1,White,Black or African American,Assault,Cypress,3,West,
3950,Tennessee,2000,1,White,White,Intimidation,Maury,1,South,
3951,Virginia,2008,1,White,Black or African American,Intimidation,Chesterfield County Police Department,1,South,
3952,Texas,2016,1,White,White,Intimidation,Pleasanton,1,South,0.0
3953,New Jersey,2006,1,White,Asian,Intimidation,Howell Township,1,Northeast,
3954,California,2014,1,White,Black or African American,Assault,Monterey,1,West,0.0
3955,Oregon,2011,1,White,Others,Others,Portland,1,West,0.0
3956,Virginia,1999,1,White,Black or African American,Assault,Leesburg,2,South,
3957,Maryland,1999,1,White,Others,Assault,Cumberland,3,South,
3958,Oregon,1999,1,White,Black or African American,Intimidation,State Police:,1,West,
3959,Virginia,2000,1,Black or African American,White,Intimidation,Roanoke,1,South,
3960,Connecticut,2001,2,White,Others,Intimidation,Danbury,1,Northeast,
3961,Kansas,2018,1,White,White,Intimidation,Chanute,1,Midwest,0.0
3962,New York,2003,1,White,Asian,Assault,New York,1,Northeast,
3963,Washington,2011,1,White,Others,Property,Spokane Valley,1,West,0.0
3964,Michigan,2004,1,Black or African American,Black or African American,Assault,Kalamazoo,1,Midwest,
3965,California,1995,1,White,Black or African American,Intimidation,Los Angeles,2,West,
3966,Texas,1997,2,White,Black or African American,Intimidation,Austin,1,South,
3967,Indiana,2004,1,White,Black or African American,Assault,Clarksville,1,Midwest,
3968,Virginia,2010,1,White,Black or African American,Assault,King George,2,South,
3969,California,1996,2,White,Asian,Property,Orange,1,West,
3970,Florida,1999,1,White,Others,Assault,Coral Springs,6,South,
3971,New Jersey,2002,1,White,Others,Intimidation,Milltown,2,Northeast,
3972,Indiana,1994,1,White,Black or African American,Intimidation,Indiana University:,1,Midwest,
3973,Georgia,1995,1,White,Black or African American,Assault,Valdosta State University,1,South,
3974,California,2000,1,White,Black or African American,Assault,Los Angeles,1,West,
3975,California,2013,1,White,Black or African American,Assault,Milpitas,1,West,0.0
3976,North Carolina,2003,1,Black or African American,Others,Assault,Charlotte-Mecklenburg,2,South,
3977,Ohio,2013,1,Black or African American,Black or African American,Others,Upper Arlington,1,Midwest,0.0
3978,New Jersey,2009,1,White,Black or African American,Intimidation,Madison,1,Northeast,
3979,Nevada,2008,2,Black or African American,Others,Assault,Las Vegas Metropolitan Police Department,1,West,
3980,Oregon,2006,1,White,Others,Assault,Newberg-Dundee,2,West,
3981,Massachusetts,2017,1,White,Black or African American,Intimidation,Boston,1,Northeast,0.0
3982,Ohio,2004,1,White,Black or African American,Intimidation,Hamilton,3,Midwest,
3983,Illinois,2007,1,White,Black or African American,Assault,Granite City,1,Midwest,
3984,Washington,2002,1,White,Black or African American,Intimidation,Spokane,1,West,
3985,North Carolina,2000,1,White,Black or African American,Intimidation,Iredell,1,South,
3986,Arizona,1992,1,Black or African American,White,Assault,Phoenix,8,West,
3987,Colorado,1994,2,Black or African American,White,Assault,Denver,7,West,
3988,Michigan,2007,1,White,Others,Assault,Clawson,2,Midwest,
3989,Ohio,2016,1,Black or African American,Others,Assault,Lyndhurst,3,Midwest,0.0
3990,Indiana,1997,1,White,Others,Assault,Albion,1,Midwest,
3991,California,2002,1,Black or African American,Others,Assault,Los Angeles,1,West,
3992,West Virginia,2006,1,Black or African American,White,Intimidation,Princeton,1,South,
3993,Kentucky,2009,2,White,Others,Intimidation,Allen,1,South,
3994,Nebraska,2010,1,White,Others,Others,Lincoln,1,Midwest,
3995,Connecticut,2003,2,White,Black or African American,Intimidation,Rocky Hill,3,Northeast,
3996,Pennsylvania,1994,3,White,Black or African American,Assault,Williamsport,2,Northeast,
